Date,NSI
2019/01,97.23
2019/02,95.8
2019/03,95.68
2019/04,101.7
2019/05,94.68
2019/06,94.76
2019/07,89.13
2019/08,82.84
2019/09,95.08
2019/10,92.66
2019/11,104.08
2019/12,105.71
2020/01,102.02
2020/02,81.32
2020/03,70.11
2020/04,79.63
2020/05,89.94
2020/06,98.72
2020/07,106.16
2020/08,99.38
2020/09,99.3
2020/10,104.85
2020/11,113.05
2020/12,113.75
2021/01,114.43
2021/02,107.32
2021/03,114.5
2021/04,120.04
2021/05,116.02
2021/06,119.01
2021/07,117.85
2021/08,110.06
2021/09,106.56
2021/10,104.52
2021/11,111.1
2021/12,111.81
2022/01,103.32
2022/02,103.7
2022/03,103.7
2022/04,104.78
2022/05,103.25
2022/06,83.99
2022/07,91
2022/08,97.77
2022/09,85.57
2022/10,79.37
2022/11,88.04
2022/12,82.72
2023/01,93.5
2023/02,97.31
2023/03,93.89
2023/04,94.78
2023/05,96.33
2023/06,101.63
2023/07,102.08
2023/08,98.92
2023/09,100.74
2023/10,95.29
2023/11,102.35
2023/12,103.38
2024/01,99.45
2024/02,107.82
2024/03,110.61
2024/04,107.78
2024/05,109.41
2024/06,109.34
2024/07,106.58
2024/08,99.3
2024/09,98.67
2024/10,100.46
2024/11,100.47
2024/12,85.75
2025/01,99.69
